Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Year
SA Yadav (MI),2020-2020,16,15,3,480,79*,40.00,331,145.01,-,4,2,61,11,2020
D Padikkal (RCB),2020-2020,15,15,-,473,74,31.53,379,124.80,-,5,-,51,8,2020
V Kohli (RCB),2020-2020,15,15,4,466,90*,42.36,384,121.35,-,3,-,23,11,2020
AB de Villiers (RCB),2020-2020,15,14,4,454,73*,45.40,286,158.74,-,5,1,33,23,2020
F du Plessis (CSK),2020-2020,13,13,2,449,87*,40.81,319,140.75,-,4,1,42,14,2020
Shubman Gill (KKR),2020-2020,14,14,1,440,70*,33.84,373,117.96,-,3,-,44,9,2020
MK Pandey (SRH),2020-2020,16,15,2,425,83*,32.69,333,127.62,-,3,-,35,18,2020
MA Agarwal (KXIP),2020-2020,11,11,-,424,106,38.54,271,156.45,1,2,-,44,15,2020
EJG Morgan (KKR),2020-2020,14,14,4,418,68*,41.80,302,138.41,-,1,-,32,24,2020
SV Samson (RR),2020-2020,14,14,1,375,85,28.84,236,158.89,-,3,2,21,26,2020
AT Rayudu (CSK),2020-2020,12,11,2,359,71,39.88,282,127.30,-,1,-,30,12,2020
N Pooran (KXIP),2020-2020,14,14,4,353,77,35.30,208,169.71,-,2,1,23,25,2020
N Rana (KKR),2020-2020,14,14,-,352,87,25.14,254,138.58,-,3,3,43,12,2020
MP Stoinis (DC),2020-2020,17,17,3,352,65,25.14,237,148.52,-,3,1,31,16,2020
JM Bairstow (SRH),2020-2020,11,11,-,345,97,31.36,272,126.83,-,3,1,31,13,2020
RR Pant (DC),2020-2020,14,14,3,343,56,31.18,301,113.95,-,1,-,31,9,2020
RG Sharma (MI),2020-2020,12,12,-,332,80,27.66,260,127.69,-,3,1,27,19,2020
JC Buttler (RR),2020-2020,13,12,2,328,70*,32.80,227,144.49,-,2,-,27,16,2020
KS Williamson (SRH),2020-2020,12,11,4,317,67,45.28,237,133.75,-,3,-,26,10,2020
SPD Smith (RR),2020-2020,14,14,2,311,69,25.91,237,131.22,-,3,-,32,9,2020
SR Watson (CSK),2020-2020,11,11,1,299,83*,29.90,247,121.05,-,2,-,33,13,2020
CH Gayle (KXIP),2020-2020,7,7,-,288,99,41.14,210,137.14,-,3,-,15,23,2020
BA Stokes (RR),2020-2020,8,8,1,285,107*,40.71,200,142.50,1,1,-,36,7,2020
HH Pandya (MI),2020-2020,14,13,5,281,60*,35.12,157,178.98,-,1,1,14,25,2020
AJ Finch (RCB),2020-2020,12,12,-,268,52,22.33,241,111.20,-,1,-,28,8,2020
KA Pollard (MI),2020-2020,16,12,7,268,60*,53.60,140,191.42,-,1,1,15,22,2020
R Tewatia (RR),2020-2020,14,11,5,255,53,42.50,183,139.34,-,1,-,13,17,2020
RA Jadeja (CSK),2020-2020,14,11,6,232,50,46.40,135,171.85,-,1,-,22,11,2020
RA Tripathi (KKR),2020-2020,11,11,1,230,81,23.00,181,127.07,-,1,-,21,10,2020
PP Shaw (DC),2020-2020,13,13,-,228,66,17.53,167,136.52,-,2,3,27,8,2020
WP Saha (SRH),2020-2020,4,4,1,214,87,71.33,153,139.86,-,2,-,24,5,2020
RD Gaikwad (CSK),2020-2020,6,6,2,204,72,51.00,169,120.71,-,3,2,16,6,2020
MS Dhoni (CSK),2020-2020,14,12,4,200,47*,25.00,172,116.27,-,-,-,16,7,2020
RV Uthappa (RR),2020-2020,12,12,-,196,41,16.33,164,119.51,-,-,-,19,7,2020
SM Curran (CSK),2020-2020,14,11,3,186,52,23.25,141,131.91,-,1,2,12,12,2020
SO Hetmyer (DC),2020-2020,12,11,3,185,45,23.12,125,148.00,-,-,-,11,12,2020
KD Karthik (KKR),2020-2020,14,14,2,169,58,14.08,134,126.11,-,1,3,20,4,2020
PJ Cummins (KKR),2020-2020,14,11,4,146,53*,20.85,114,128.07,-,1,-,9,8,2020
PK Garg (SRH),2020-2020,14,10,1,133,51*,14.77,111,119.81,-,1,1,9,4,2020
Mandeep Singh (KXIP),2020-2020,7,7,1,130,66*,21.66,109,119.26,-,1,2,10,4,2020
S Dube (RCB),2020-2020,11,9,2,129,27*,18.42,105,122.85,-,-,-,5,9,2020
SP Narine (KKR),2020-2020,10,9,-,121,64,13.44,85,142.35,-,1,2,10,8,2020
AD Russell (KKR),2020-2020,10,9,-,117,25,13.00,81,144.44,-,-,-,9,9,2020
AR Patel (DC),2020-2020,15,9,1,117,42,14.62,85,137.64,-,-,-,6,8,2020
AM Rahane (DC),2020-2020,9,8,-,113,60,14.12,107,105.60,-,1,2,12,2,2020
